VP code,Munufacturer,Brand,Status,Cost
10-512-B-HB-HB,House Brand,House Brand,Out of stock,2
P010900,PDI,Sani-Bracket,Active,2
1157-1,Dynarex,WeCare,Active,2.07
2219-1,Dynarex,Dynarex,Active,2.1
10-4112-P-HB,House Brand,House Brand,Active,2.1
A9011-CB-1-HB,House Brand,House Brand,Active,2.1
A9011-WW-1-HB-HB,House Brand,House Brand,Out of stock,2.1
A9011-CB-1,Safe-Dent,Safe-Dent,Active,2.1
A9011-WW-1,Safe-Dent,Safe-Dent,Active,2.1
SM-6818,Cardinal Health,Webcol,Active,2.1
10-504-HB-HB,House Brand,House Brand,Active,2.2
10-372-HB-HB,House Brand,House Brand,Active,2.2
100-1971BL,Cargus,MARK3 SurgiCare,Out of stock,2.25
3659-1,Gojo,Purell Advanced,Active,2.43
P50-HB,House Brand,House Brand,Active,2.45
P40-HB,Cargus,House Brand,Active,2.45
4423L,Dukal Corporation,Tech-Med,Active,2.49
435-4526,House Brand,House Brand,Active,2.5
P42-HB,Cargus,House Brand,Active,2.5
10-507-H-HB,SurgiMac-HexaSeries,House Brand,Active,2.5
P44-HB,House Brand,House Brand,Active,2.5
16-2613-HB,House Brand,House Brand,Active,2.5
16-2614-HB,House Brand,House Brand,Active,2.5
P50,Cargus,MARK3,Active,2.5
P40,Cargus,MARK3,Active,2.5
P44,Cargus,MARK3,Active,2.5
4423M,Dukal Corporation,Tech-Med,Active,2.5
p41,Cargus,MARK3,Active,2.52
2731001,House Brand,House Brand,Out of stock,2.55
11-716-A,SurgiMac-AirSeries,Air Series,Active,2.6
10-371-S-HB,SurgiMac-SlimSeries,House Brand,Active,2.6
36-01022,Keystone Industries,Prehma,Active,2.6
P5010-1-HB,House Brand,House Brand,Active,2.63
2731002Q,Quala,Quala,Active,2.63
2731006Q,Quala,Quala,Active,2.63
2731001Q,Quala,Quala,Active,2.63
P5010-1,Safe-Dent,Safe-Dent,Active,2.63
2731005Q,Quala,Quala,Active,2.64
2731007Q,Quala,Quala,Active,2.64
P42,Cargus,MARK3,Active,2.67
1601,Cargus,MARK3,Active,2.75
6001-03,Myco Medical,Myco Medical,Active,2.76
12-2101-HB,House Brand,House Brand,Out of stock,2.8
12-2101-HB-HB,House Brand,House Brand,Out of stock,2.8
16-2651-HB-HB,House Brand,House Brand,Active,2.8
3-1001-1,Miltex-Integra,Miltex,Active,2.82
2340084014-1,Dial,Dial Liquid Gold,Out of stock,2.83
STP-7004-D-1-HB,House Brand,House Brand,Active,2.83
403201-6,Quala,Quala,Active,2.83
STP-7004-D-1,Safe-Dent,Safe-Dent,Active,2.83
305635-1,BD,BD Sharps Collector,Active,2.84
403202-6,Quala,Quala,Active,2.84
16-2510-E-HB,House Brand,House Brand,Active,2.85
1603,Cargus,MARK3,Active,2.97
4314,Dynarex,Dynarex,Active,3
SM-1A2704,House Brand,House Brand,Active,3
10-531-H-HB,House Brand,House Brand,Active,3
16-2803 HB,SurgiMac-EcoSeries,House Brand,Active,3
12-1715-P-HB,SurgiMac-ProSeries,House Brand,Active,3
15-SH5-33,House Brand,House Brand,Active,3
10-4112-P,SurgiMac-ProCut,ProCut,Out of stock,3
211896500-1,LG H&H,Reach,Active,3.01
P907032-1,House Brand,House Brand,Active,3.05
65-28,Miltex-Integra,Miltex,Active,3.08
2340082834-1,Dial,Dial Liquid Sensitive Skin,Active,3.11
C22370-1,PDI,Hygea,Out of stock,3.16
9022-10,Gojo,Purell,Active,3.22
12-933-HB,House Brand,House Brand,Active,3.25
V966-317,Miltex-Integra,Vantage,Active,3.26
12-932-HB,House Brand,House Brand,Active,3.3
211896300-1,LG H&H,Reach,Active,3.3
116200104,Xttrium Labs,Xttrium Labs,Active,3.3
UBC-8028,Dukal Corporation,UniPACK,Active,3.35
L6120,B. Braun Medical,B. Braun,Out of stock,3.4
STP-7001-A-1-HB,House Brand,House Brand,Active,3.4
STP-7001-A-1,Safe-Dent,Safe-Dent,Active,3.4
305488-1,BD,BD Sharps Collector,Out of stock,3.46
4461-1,Dynarex,Dynarex,Active,3.5
13-1176 HB,SurgiMac-EcoSeries,House Brand,Active,3.5
403003-1,Quala,Quala,Active,3.54
403001-1,Quala,Quala,Active,3.54
403004-1,Quala,Quala,Active,3.54
BE201-Pk,EcoBee,BeeSure,Active,3.55
2141-PK,Dynarex,Dynarex,Active,3.63
12508,Cargus,MARK3,Active,3.63
MC-10-1210-HB,SurgiMac-MacCut,House Brand,Active,3.66
MC-10-5212-HB,House Brand,House Brand,Active,3.66
6008T-21,Myco Medical,Myco Medical,Active,3.7
6008T-22,Myco Medical,Myco Medical,Active,3.7
6008T-15,Myco Medical,TECHNOCUT,Active,3.7
6008T-11,Myco Medical,TECHNOCUT,Active,3.7
6008T-10,Myco Medical,TECHNOCUT,Active,3.7
D25431-1,PDI,See Clear,Active,3.72
711-Pk,Medicom,SafeBasics,Out of stock,3.78
2227,Shofu Dental,House Brand,Out of stock,3.8
12-930-HB-HB,SurgiMac-AirSeries,House Brand,Out of stock,3.8
4115,Dynarex,Medicut,Active,3.85
205314-Bx,Medicom,SafeMask Classics,Active,3.86
568-70750,Miltex-Integra,Miltex,Active,3.87
6008T-12,Myco Medical,TECHNOCUT,Active,3.88
712-Pk,Medicom,SafeBasics,Active,3.93
67-688,Miltex-Integra,Miltex,Active,3.95
2203-1,Dynarex,Dynarex,Out of stock,4
12-1910-HB,House Brand,House Brand,Out of stock,4
MIR05-CS-HB,House Brand,House Brand,Active,4
307991,Meta Biomed,MD-Temp Plus,Active,4
523521700-1,J&J Dental,Listerine Ultraclean,Out of stock,4.01
CP001BW-01,Pac-Dent,Pac-Dent,Active,4.12
P13472-1,PDI,Sani-Hands,Active,4.12
Q89072-1,PDI,Sani-Cloth Plus,Active,4.15
ZCWCP,Crosstex,Comfort Plus,Active,4.19
L6100-1,B. Braun Medical,B. Braun,Out of stock,4.23
ZWWCP,Crosstex,Comfort Plus,Active,4.24
HL65822HB,House Brand,House Brand,Active,4.25
P359101-1,ProAdvantage,ProAdvantage,Active,4.26
2340081075-1,Dial,Dial Complete,Active,4.29
7799-HB,House Brand,House Brand,Out of stock,4.29
7799-HB,House Brand,House Brand,Out of stock,4.29
7799,Cargus,MARK3,Active,4.29
C69900-1,PDI,PDI,Active,4.29
100-1973BL,Cargus,MARK3 SurgiCare,Out of stock,4.35
3601G,Palmero,ProVision Econo Wrap,Active,4.35
100-7798,Cargus,MARK3,Active,4.39
MIR04-CS HB,SurgiMac-ProSeries,House Brand,Active,4.4
Q55172-1,PDI,Super Sani-Cloth,Active,4.4
56-00140,Dharma Research,Ionite-H,Active,4.46
80779740,Procter & Gamble,Oral-B Glide Pro-Health,Active,4.49
MC-10-1211-HB,SurgiMac-MacCut,House Brand,Active,4.5
3240-234,SurgiMac-ProSeries,House Brand,Active,4.5
P03672-1,PDI,PDI Easy Screen,Active,4.52
403002-1,Quala,Quala,Active,4.53
D43600-1,PDI,Sani-Hands,Active,4.53
12178-2-HB-HB,House Brand,House Brand,Active,4.54
12178-2-HB-HB,House Brand,House Brand,Active,4.54
12178-2-HB,House Brand,House Brand,Active,4.54
12178-2-HB,House Brand,House Brand,Active,4.54
2002-64,Myco Medical,Myco Medical,Active,4.55
2002-61,Myco Medical,Myco Medical,Active,4.55
2002-67,Myco Medical,Myco Medical,Active,4.55
P13872-1,PDI,Sani-Cloth AF3,Active,4.55
P5016XL-Bx,House Brand,House Brand,Active,4.58
305444-1,BD,BD Sharps Collector,Active,4.59
4462-1,Dynarex,Dynarex,Active,4.6
SM07-225,SurgiMac-EcoSeries,House Brand,Active,4.63
200273600-1,LG H&H,Reach,Active,4.68
ST-1021,Defend,Defend,Out of stock,4.71
L7502,B. Braun Medical,B. Braun,Out of stock,4.72
Q85084-1,PDI,Sani-Cloth Plus,Active,4.74
PPCM,3D Dental,3D Dental,Active,4.79
371215-HB,SurgiMac-MacCut,House Brand,Active,4.79
205315-Bx,Medicom,SafeMask Classics,Active,4.79
205315-Bx,Medicom,SafeMask Classics,Active,4.79
205315-Bx,Medicom,SafeMask Classics,Active,4.79
205317-BX,Medicom,SafeMask Classics,Out of stock,4.79
8881676285-1,Covidien / Kendall Healthcare,Monoject,Active,4.83
3-720,Miltex-Integra,Miltex,Active,4.94
DGP-350-M,Microflex,Diamond Grip Plus,Active,4.95
DGP-350-S,Microflex,Diamond Grip Plus,Active,4.95
SM-3117-kit,SurgiMac-EcoSeries,House Brand,Active,4.95
DDCV-200,Dynarex,House Brand,Active,5
DD20-RF30-HB,SurgiMac-AirSeries,House Brand,Out of stock,5
12-1751 HB,SurgiMac-EcoSeries,House Brand,Active,5
12-1103-HB,SurgiMac-ProSeries,House Brand,Active,5
01-I0300,Septodont,Septodont,Active,5
779777,House Brand,House Brand,Active,5.06
00152-Bx,Halyard Health,Halyard,Active,5.08
40006-Bx,Medicom,SafeBasics,Active,5.16
30825-1,The Clorox Company,Clorox HealthCare,Active,5.2
4012-1,Dukal Corporation,Tech-Med,Active,5.23
811,Pac-Dent,Pac-Dent,Active,5.24
03-01719,Keystone Industries,Gelato,Active,5.27
QBRGEN,Myco Medical,Qlicksmart,Active,5.46
5974,Cargus,MARK3,Active,5.5
CR-100,Pac-Dent,Pac-Dent,Active,5.55
B60307-1,PDI,PDI,Active,5.61
30824-1,The Clorox Company,Clorox HealthCare,Active,5.63
DD H59200,PDI,Sani-Cloth AF3,Active,5.63
V966-652,Miltex-Integra,Vantage,Active,5.63
P86984-1XL,PDI,Super Sani-Cloth,Active,5.69
37000089872,Procter & Gamble,Crest 3DWhite,Active,5.7
4014-1,Dukal Corporation,Tech-Med,Active,5.75
326207,House Brand,House Brand,Out of stock,5.79
P25372-1,PDI,Sani-Cloth Prime,Active,5.8
80366100,Procter & Gamble,Oral-B PRO-HEALTH FOR ME,Out of stock,5.81
80355763,Procter & Gamble,Oral-B,Active,5.84
Q353002-1,Quala,Quala,Out of stock,5.85
DD1118-Bx,EcoBee,BeeSure,Out of stock,5.9
177052-1,Innovative Healthcare,Pulse Nitrile,Active,5.94
177202-1,Innovative Healthcare,Pulse Nitrile,Active,5.94
177302-1,Innovative Healthcare,Pulse Nitrile,Active,5.94
177302-1,Innovative Healthcare,Pulse Nitrile,Active,5.94
177102-1,Innovative Healthcare,Pulse Nitrile,Active,5.94
10-1503-10-HB,House Brand,House Brand,Active,5.95
P54072-1,PDI,Sani-Cloth Bleach,Active,5.95
12-1752 HB,House Brand,House Brand,Active,6
29-3402-HB,SurgiMac-EcoSeries,House Brand,Active,6
IC583,SurgiMac-MacSafe,House Brand,Active,6
SM05-130,House Brand,House Brand,Active,6
29-3403-HB,House Brand,House Brand,Active,6
P86984-1,PDI,Super Sani-Cloth,Active,6.02
306991,Meta Biomed,MD-Temp Plus,Active,6.07
P72584-1,PDI,Sani-Cloth AF3,Active,6.1
P72584-1XL,PDI,Sani-Cloth AF3,Active,6.1
20-25GL,J. Morita,J. Morita,Active,6.3
20-30GL,J. Morita,J. Morita,Active,6.3
20-27GS,J. Morita,J. Morita,Out of stock,6.3
20-27GL,J. Morita,J. Morita,Out of stock,6.36
BE306-Pk,EcoBee,BeeSure,Active,6.43
S3160K-Bx,Cranberry USA,Cranberry S3+,Out of stock,6.43
80310196,Procter & Gamble,Oral-B,Active,6.43
13-1224-1,Metrex,CaviWipes,Active,6.44
8098,Cargus,MARK3,Active,6.5
8095,Cargus,MARK3,Active,6.5
2003-81,Myco Medical,Myco Medical,Active,6.53
305196-BX,BD,BD,Active,6.61
305195-BX,BD,BD,Active,6.61
102505036-1,Pierrel Pharma,Orabloc,Active,6.63
102704025-1,Pierrel Pharma,Orabloc,Active,6.63
103003012-1,Pierrel Pharma,Orabloc,Out of stock,6.63
103003025-1,Pierrel Pharma,Orabloc,Active,6.63
88000-4-Bx,Medicom,SafeSeal Quattro,Active,6.63
1150-1,Dynarex,A & D Ointment,Active,6.66
S374,Parkell,Amalgambond Plus,Active,6.7
DD10-1158,Metrex,MetriMist,Active,6.73
231,Pac-Dent,Pac-Dent,Active,6.74
US-220-M,Microflex,UltraSense,Active,6.76
42834-1,J&J Dental,Listerine Zero,Active,6.88
201RYBZ,Sunstar,GUM,Active,6.9
6034511-1,Ansell,Micro-Touch NitraFree,Active,6.93
0283-0293-31,Beutlich,HurriCaine,Active,6.95
0283-0886-31,Beutlich,HurriCaine,Active,6.95
20-30GS,J. Morita,J. Morita,Out of stock,6.98
29-3401-F,SurgiMac-EcoSeries,House Brand,Active,7
12-1101-HB,SurgiMac-EcoSeries,House Brand,Active,7
5F45CX30-HB,SurgiMac-MacSuture,House Brand,Active,7
5G45CX19-HB,SurgiMac-MacSuture,House Brand,Active,7
12-1711-P-HB,SurgiMac-ProSeries,House Brand,Active,7
5F45CX26-HB,House Brand,House Brand,Active,7
5G45CX16-HB,House Brand,House Brand,Active,7
5F45CX20-HB,House Brand,House Brand,Active,7
12-1102-HB,House Brand,House Brand,Active,7
11-1181-HB,House Brand,House Brand,Active,7
P5014-1-HB-HB,House Brand,House Brand,Out of stock,7
118,Keystone (EPR Industries),Instant Fog Free,Active,7
8090,Cargus,MARK3,Active,7
4165,Dynarex,Medicut,Active,7
CR8166NS-Bx,Cranberry USA,Smart Dam,Active,7
US-220-L,Microflex,UltraSense,Active,7
US-220-S,Microflex,UltraSense,Active,7
6120600,Keystone Industries,PIP,Active,7.05
69-23s,Miltex-Integra,Miltex,Active,7.09
207,HR Pharmaceuticals,HR,Out of stock,7.18
P27372-1,PDI,Sani-HyPerCide,Out of stock,7.2
42755-1,J&J Dental,Cool Mint Listerine,Active,7.3
371615-BX,BD,Bard Parker,Active,7.38
A90125CW-HB,House Brand,House Brand,Active,7.5
A90141-S-1-HB,House Brand,House Brand,Active,7.5
A90143-L-1-HB-HB,House Brand,House Brand,Active,7.5
A90143-L-1,Safe-Dent,Safe-Dent,Active,7.5
A90125CW,Safe-Dent,Safe-Dent,Active,7.5
A90141-S-1,Safe-Dent,Safe-Dent,Active,7.5
OCW06-100-1,Micro-Scientific Industries,Opti-Cide3,Out of stock,7.51
C2700SP-Bx,Cranberry USA,Cranberry Cosmo,Out of stock,7.55
C2700GG-Bx,Cranberry USA,Cranberry Cosmo,Active,7.55
A90126MC,Safe-Dent,Safe-Dent,Active,7.55
2042-BX,Medicom,SafeMask Premier Elite,Active,7.58
12-1744 HB,House Brand,House Brand,Active,7.6
88020-4,Medicom,SafeSeal Quattro,Active,7.68
BE2530-Bx,EcoBee,beesure Vibe,Active,7.7
16-2551-HB,SurgiMac-AirSeries,House Brand,Active,7.7
324B,Dukal Corporation,Dukal,Active,7.77
10-1500-Elastic,SurgiMac-MacSafe,House Brand,Active,7.82
XC-310-M-1,Ansell,Microflex XCEED,Active,7.82
XC-310-L-1,Ansell,Microflex XCEED,Active,7.82
6008TR-12,Myco Medical,TECHNOCUT Plus,Active,7.82
6008TR-15,Myco Medical,TECHNOCUT Plus,Active,7.82
8881676434,Covidien / Kendall Healthcare,Monoject,Active,7.86
4404S,Dukal Corporation,Tech-Med,Active,7.86
4404L,Dukal Corporation,Tech-Med,Active,7.86
3-1000,Miltex-Integra,Miltex,Out of stock,7.91
7816-Bx,Cranberry USA,Silkcare,Active,7.97
C2900K-Bx,Cranberry USA,Carbon,Out of stock,7.98
4404XL,Dukal Corporation,Tech-Med,Active,7.98
50036360-1,Quala,Quala,Active,7.99
50036370-1,Quala,Quala,Active,7.99
Q9020,Quala,Quala,Active,8
01-N1271,Septodont,Septoject,Active,8
4404M,Dukal Corporation,Tech-Med,Active,8
9020,Cargus,MARK3,Active,8.02
6034302-1,Ansell,Micro-Touch Nitrile,Active,8.11
6034303-1,Ansell,Micro-Touch Nitrile,Active,8.11
6008TR-11,Myco Medical,TECHNOCUT Plus,Active,8.21
C6013-1-HB,House Brand,House Brand,Out of stock,8.33
c6013-1,Safe-Dent,Safe-Dent,Active,8.33
1155,Cargus,MARK3,Active,8.35
3-1001,Miltex-Integra,Miltex,Active,8.41
30577-1,The Clorox Company,Clorox HealthCare,Out of stock,8.43
EXD11-12Q 4,Quala,Quala,Active,8.44
14-1100-1,Metrex,CaviWipes 2.0,Active,8.52
UF-524-M,Microflex,Ultraform,Active,8.53
UF-524-S,Microflex,Ultraform,Active,8.53
UF-524-XS-S,Microflex,Ultraform,Active,8.53
13-1100-1,Metrex,CaviWipes,Active,8.57
56-00100,Dharma Research,Ionite,Active,8.58
P84172-1,PDI,Sani-Cloth Bleach,Active,8.63
9015,Cargus,MARK3,Active,8.65
42795,J&J Dental,Cool Mint Listerine,Out of stock,8.68
M60034-1,Micro-Scientific Industries,Opti-Cide MAX,Out of stock,8.76
102704036-1,Pierrel Pharma,Orabloc,Active,8.8
2340088047-1,Dial,Dial Liquid Gold,Out of stock,8.81
MK-296-M,Microflex,MidKnight,Active,8.86
MK-296-XL,Microflex,MidKnight,Active,8.86
MK-296-XXL,Microflex,MidKnight,Out of stock,8.87
MK-296-S,Microflex,MidKnight,Active,8.87
47107-1,Halyard Health,FluidShield,Active,8.88
13-1024-1,Metrex,CaviCide,Active,8.89
52816-1,Halyard Health,Lavender,Active,8.89
52820-1,Halyard Health,Lavender,Active,8.89
52817-1,Halyard Health,Lavender,Active,8.89
52818-1,Halyard Health,Lavender,Active,8.89
4-415,Miltex-Integra,Miltex,Active,8.89
80779742,Procter & Gamble,Oral-B Glide Pro-Health,Active,8.94
305491-1,BD,BD Sharps Collector,Active,9
P5018-1-HB,House Brand,House Brand,Active,9.1
P5018-1,Safe-Dent,Safe-Dent,Active,9.1
4-411,Miltex-Integra,Miltex,Out of stock,9.14
SU-690-L,Microflex,Supreno SE,Active,9.18
222859,Miltex-Integra,Tip-It,Active,9.2
305122-BX,BD,BD,Active,9.24
305127-BX,BD,BD,Active,9.24
826758,Gojo,Purell Advanced,Active,9.3
16-1100-1,Metrex,CaviWipes HP,Active,9.32
01C4038,Septodont,Septodont,Active,9.39
MF-300-S,Microflex,Diamond Grip,Active,9.41
3250-1,Dynarex,Dynarex,Active,9.5
58-00225,Dharma Research,Qartz,Out of stock,9.5
58-00224,Dharma Research,Qartz,Active,9.5
58-00208,Dharma Research,Qartz,Active,9.5
892014,Gojo,Purell,Out of stock,9.52
50036365,Quala,Quala,Active,9.54
8881400041,Covidien / Kendall Healthcare,Monoject #400,Out of stock,9.55
01N1301,Septodont,Septoject,Active,9.61
13-5100-1,Metrex,CaviWipes1,Active,9.64
10120m,Gingi-Pak,Gingi-Pak MAX Original,Active,9.64
8881401072,Covidien / Kendall Healthcare,Monoject #401,Active,9.73
Q182605,Quala,Quala,Active,9.84
43933,Halyard Health,Aquasoft,Active,9.89
409PC,Sunstar,GUM,Active,9.91
19T028,Silmet,Profil Temp,Out of stock,9.95
13-9100-1,Metrex,CaviWipes Bleach,Active,9.96
58-00209,Dharma Research,Qartz,Active,9.97
50036370-quala,Quala,House Brand,Active,10
4131,Dynarex,Medicut,Active,10
4130,Dynarex,Medicut,Active,10
01-N1252,Septodont,Septoject,Active,10.04
1117tm,Gingi-Pak,Gingi-Pak MAX Z-Twist,Active,10.1
4132,Dynarex,Medicut,Active,10.1
13-1150-1,Metrex,CaviWipes,Out of stock,10.2
100-0096,Cargus,MARK3,Active,10.29
GPLUSWHSF-Bx,Crosstex,Isofluid Plus Pure SecureFit,Active,10.3
10105m,Gingi-Pak,Gingi-Pak MAX Soft Twist,Active,10.38
MASKT-06BK,Pac-Dent,iMask,Active,10.39
10170m,Gingi-Pak,Gingi-Pak MAX Z-Twist,Active,10.48
12170m,Gingi-Pak,Gingi-Pak MAX Z-Twist,Out of stock,10.48
10171m,Gingi-Pak,Gingi-Pak MAX Z-Twist,Active,10.48
8881400074,Covidien / Kendall Healthcare,Monoject #400,Active,10.5
p5014-1,Safe-Dent,Safe-Dent,Active,10.5
01-N1300,Septodont,Septoject,Active,10.55
8881513934,Covidien / Kendall Healthcare,Monoject,Active,10.57
2001T-25,Myco Medical,Myco Medical,Active,10.58
2001T-22,Myco Medical,Myco Medical,Active,10.58
2001T-15,Myco Medical,Myco Medical,Active,10.58
2001T-12,Myco Medical,Myco Medical,Active,10.58
UDA-4001,Dukal Corporation,UniPACK,Active,10.6
DP47830-1,Quala,Quala,Active,10.67
131113,Pac-Dent,EzAim,Active,10.7
80345505,Procter & Gamble,Oral-B,Active,10.72
50094955,Quala,Quala,Active,10.74
P-TSR,3D Dental,Pristine,Active,10.95
P-GPC,3D Dental,Pristine,Active,10.95
C521,Microflex,NeoGard,Active,11
1427,Cargus,MARK3,Active,11.05
80777585,Procter & Gamble,Crest,Active,11.09
3771-1,Ansell,Micro-Touch Affinity,Active,11.09
3772,Ansell,Micro-Touch Affinity,Active,11.09
80742356-36 pack,Procter & Gamble,Crest Pro-Health,Active,11.1
C522,Microflex,NeoGard,Active,11.1
2001T-11,Myco Medical,Myco Medical,Active,11.11
305180-BX,BD,BD,Active,11.13
2001T-10,Myco Medical,Myco Medical,Active,11.16
EXD3CHQ6,Quala,Quala,Active,11.19
Q40251-FC,Quala,Quala,Active,11.31
308PD,Sunstar,GUM,Active,11.35
100-1630,Cargus,MARK3,Active,11.36
SCW2-Bx,Crosstex,Sure-Check,Out of stock,11.36
3236-Bx,Cranberry USA,Carbon,Active,11.41
3237-Bx,Cranberry USA,Carbon,Active,11.41
3238-Bx,Cranberry USA,Carbon,Active,11.41
01-N1272,Septodont,Septoject,Active,11.55
01-N1550,Septodont,Septoject XL,Active,11.61
12116,Gingi-Pak,Gingi-Aid,Out of stock,11.66
3001T-11,Myco Medical,Myco Medical,Active,11.7
SW15-100,Crosstex,Crosstex,Out of stock,11.86
72-34,Miltex-Integra,Miltex,Active,11.9
10-1551-Knitt Cuff,SurgiMac-MacSafe,House Brand,Active,11.95
DDP25784,PDI,Sani-Cloth Bleach,Active,11.97
600PB,Sunstar,Sunstar GUM Stimulator,Active,11.99
LAB100S-SKY-1-HB,House Brand,House Brand,Active,12
LAB100S-SKY-1,Safe-Dent,Safe-Dent,Out of stock,12
Q30610,Quala,Quala,Out of stock,12.05
EXC17Q,Quala,Quala,Active,12.14
EXC18Q,Quala,Quala,Active,12.14
DD-88TN02S,Cardinal Health,Flexal,Active,12.18
301002,Meta Biomed,Metapaste,Active,12.2
P0431-3,Quala,Quala,Active,12.21
4-100,Miltex-Integra,Blade-Ex,Active,12.33
P71520-10,PDI,Sani-Hands,Active,12.43
88TN04L,Cardinal Health,Flexal,Active,12.5
9093,Cargus,MARK3,Out of stock,12.5
3001T-15C,Myco Medical,Myco Medical,Active,12.6
2001T-15C,Myco Medical,Myco Medical,Active,12.6
3001T-15,Myco Medical,Myco Medical,Active,12.6
3001T-12B,Myco Medical,Myco Medical,Out of stock,12.6
2001T-12B,Myco Medical,Myco Medical,Active,12.6
PC12Q/6,Quala,Quala,Active,12.6
U87295-1,PDI,Super Sani-Cloth,Active,12.72
P907128-1,Pro Advantage,House Brand,Active,12.85
12-1751-P-HB,SurgiMac-EcoSeries,House Brand,Active,13
1562,Cargus,MARK3 Enamel Care,Out of stock,13
1564,Cargus,MARK3 Enamel Care,Out of stock,13
1560,Cargus,MARK3 Enamel Care,Active,13
302002-1,Meta Biomed,Metapex Plus,Active,13
XC-310-S-1,Ansell,Microflex XCEED,Active,13.04
1574.Mark3,Cargus,MARK3 Enamel Care,Out of stock,13.07
B19600,PDI,Prevantics,Active,13.13
